=== Class Histogram (HotSpot DiagnosticCommand) ===
Platform  : JDK=17 vendor=Oracle Corporation vm=Java HotSpot(TM) 64-Bit Server VM pid=52983 graalNative=false j9=false
Process   : 52983@kr15py
Time      : Wed Sep 16 11:29:41 AEST 2026

 num     #instances         #bytes  class name (module)
 282:             6            192  java.lang.invoke.LambdaForm$BasicType (java.base@17.0.15)
 283:             6            192  java.lang.invoke.VarForm (java.base@17.0.15)
 284:             8            192  java.math.RoundingMode (java.base@17.0.15)
 285:             8            192  java.net.NetPermission (java.base@17.0.15)
 286:             3            192  java.nio.DirectByteBufferR (java.base@17.0.15)
 287:             8            192  java.security.Permissions (java.base@17.0.15)
 288:            12            192  java.util.Collections$SingletonSet (java.base@17.0.15)
 289:            12            192  java.util.Collections$UnmodifiableSet (java.base@17.0.15)
 290:             6            192  java.util.ImmutableCollections$MapN (java.base@17.0.15)
 291:             6            192  java.util.regex.Pattern$Branch (java.base@17.0.15)
 292:             8            192  java.util.regex.Pattern$GroupTail (java.base@17.0.15)
 293:             6            192  jdk.internal.loader.NativeLibraries (java.base@17.0.15)
 294:             2            176  [Lcom.sun.tools.javac.jvm.Target; (jdk.compiler@17.0.15)
 295:             2            176  [Ljavax.lang.model.SourceVersion; (java.compiler@17.0.15)
 296:             1            168  [Lcom.sun.tools.javac.code.Source$Feature; (jdk.compiler@17.0.15)
 297:             2            168  [Lcom.sun.tools.javac.code.TypeTag; (jdk.compiler@17.0.15)
 298:             1            168  [[Ljava.math.BigInteger; (java.base@17.0.15)
 299:             7            168  java.lang.System$Logger$Level (java.base@17.0.15)
 300:             3            168  java.lang.invoke.BoundMethodHandle$Species_LLLLLLL (java.base@17.0.15)
 301:             3            168  java.nio.HeapByteBuffer (java.base@17.0.15)
 302:             7            168  java.time.DayOfWeek (java.base@17.0.15)
 303:             7            168  java.time.ZoneOffset (java.base@17.0.15)
 304:             3            168  java.util.logging.Logger (java.logging@17.0.15)
 305:             7            168  java.util.regex.Pattern$GroupHead (java.base@17.0.15)
 306:             3            168  javax.management.openmbean.OpenMBeanOperationInfoSupport (java.management@17.0.15)
 307:             2            160  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@17.0.15)
 308:             3            160  [Ljava.util.logging.Level; (java.logging@17.0.15)
 309:             4            160  java.io.FileDescriptor (java.base@17.0.15)
 310:             5            160  java.lang.WeakPairMap$Pair$Weak$1 (java.base@17.0.15)
 311:             5            160  java.lang.invoke.VarHandle$AccessType (java.base@17.0.15)
 312:             4            160  java.lang.invoke.VarHandleInts$FieldInstanceReadWrite (java.base@17.0.15)
 313:            10            160  java.util.Formatter$Flags (java.base@17.0.15)
 314:             4            160  java.util.logging.Logger$ConfigurationData (java.logging@17.0.15)
 315:             5            160  javax.management.StandardEmitterMBean (java.management@17.0.15)
 316:             4            160  jdk.internal.math.FloatingDecimal$BinaryToASCIIBuffer (java.base@17.0.15)
 317:             5            160  jdk.internal.reflect.NativeMethodAccessorImpl (java.base@17.0.15)
 318:             5            160  sun.util.locale.provider.LocaleProviderAdapter$Type (java.base@17.0.15)
 319:             5            160  sun.util.locale.provider.LocaleResources (java.base@17.0.15)
 320:             1            144  [Ljava.lang.invoke.VarHandle$AccessMode; (java.base@17.0.15)
 321:             6            144  [Ljava.util.regex.Pattern$Node; (java.base@17.0.15)
 322:             6            144  java.lang.Thread$State (java.base@17.0.15)
 323:             3            144  java.lang.ThreadGroup (java.base@17.0.15)
 324:             3            144  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@17.0.15)
 325:             6            144  java.lang.module.ModuleDescriptor$Requires$Modifier (java.base@17.0.15)
 326:             1            144  java.text.DecimalFormat (java.base@17.0.15)
 327:             6            144  java.util.BitSet (java.base@17.0.15)
 328:             6            144  java.util.regex.Pattern$BmpCharProperty (java.base@17.0.15)
 329:             6            144  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@17.0.15)
 330:             9            144  jdk.internal.logger.LazyLoggers$JdkLazyLogger (java.base@17.0.15)
 331:             6            144  jdk.internal.perf.PerfCounter (java.base@17.0.15)
 332:             6            144  sun.security.util.LazyCodeSourcePermissionCollection (java.base@17.0.15)
 333:             1            136  [Ljava.time.temporal.ChronoField; (java.base@17.0.15)
 334:             2            128  [Ljava.time.Month; (java.base@17.0.15)
 335:             4            128  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$ArrayMapping (java.management@17.0.15)
 336:             4            128  com.sun.tools.javac.comp.Analyzer$AnalyzerMode (jdk.compiler@17.0.15)
 337:             4            128  com.sun.tools.javac.comp.Resolve$MethodCheckDiag (jdk.compiler@17.0.15)
 338:             4            128  java.lang.invoke.MethodHandles$Lookup (java.base@17.0.15)
